컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:03:00,0.00,3.00,"9월 10일 서울, 신고가 속출",국토부 실거래가 시스템 화면 캡처 확대 + '부돌보 브리핑' 타이틀 자막,img-0-cover.png
2,00:00:03:00,00:00:05:00,3.00,2.00,국토부 실거래가 시스템에,실거래가 공개시스템 웹사이트 스크린 녹화,
3,00:00:05:00,00:00:07:00,5.00,2.00,서울 아파트 신고가 소식이,"서울시 지도 그래픽, 자치구 하이라이트 애니메이션",img-1-stat-card.png
4,00:00:07:00,00:00:09:00,7.00,2.00,여럿 올라왔습니다,지도 위 6개 자치구(송파·동작·구로·노원·도봉·중랑) 핀 표시,img-2-stat-card.png
5,00:00:09:00,00:00:11:00,9.00,2.00,송파구 2차한양아파트,송파구 아파트 단지 외경 스톡 사진 + 단지명 자막,img-stat-card.png
6,00:00:11:00,00:00:13:00,11.00,2.00,전용 64제곱미터,평면도 아이콘 + '전용 64㎡' 자막 카드,img-0-cover.png
7,00:00:13:00,00:00:15:00,13.00,2.00,22억 2천만 원 거래,"가격 자막 카드 '22억 2,000만 원' 큰 글씨 강조",img-1-stat-card.png
8,00:00:15:00,00:00:17:00,15.00,2.00,동작구 상도두산위브는,동작구 아파트 단지 외경 스톡 사진 + 단지명 자막,img-2-stat-card.png
9,00:00:17:00,00:00:19:00,17.00,2.00,17억 2천만 원,"가격 자막 카드 '17억 2,000만 원'",img-stat-card.png
10,00:00:19:00,00:00:21:00,19.00,2.00,구로구 한일유앤아이는,구로구 아파트 단지 외경 스톡 사진 + 단지명 자막,img-0-cover.png
11,00:00:21:00,00:00:23:00,21.00,2.00,8억 2천만 원 기록,"가격 자막 카드 '8억 2,000만 원'",img-1-stat-card.png
12,00:00:23:00,00:00:25:00,23.00,2.00,노원·도봉·중랑구에서도,"지도 그래픽, 노원·도봉·중랑 지역 하이라이트",img-2-stat-card.png
13,00:00:25:00,00:00:27:00,25.00,2.00,신고가가 나왔습니다,'신고가' 텍스트 반복 강조 애니메이션,
14,00:00:27:00,00:00:29:00,27.00,2.00,여섯 개 단지 모두,6개 단지명 리스트 자막 카드,img-stat-card.png
15,00:00:29:00,00:00:31:00,29.00,2.00,최근 3년 내 최고가,'최근 3년 내 최고가' 자막 카드,img-0-cover.png
16,00:00:31:00,00:00:33:00,31.00,2.00,강남권뿐 아니라,강남 스카이라인 스톡 컷,
17,00:00:33:00,00:00:35:00,33.00,2.00,서울 외곽까지,노원·도봉 등 외곽 주거지 스톡 컷,
18,00:00:35:00,00:00:38:00,35.00,3.00,매수심리 살아있다는 신호,얇은 상승 화살표 그래픽(과장 없는 라인 형태),img-1-stat-card.png
19,00:00:38:00,00:00:40:00,38.00,2.00,"다만, 개별 단지",'주의' 아이콘 + 자막 카드,img-2-stat-card.png
20,00:00:40:00,00:00:43:00,40.00,3.00,개별 거래 사례일 뿐입니다,'개별 거래 사례' 자막 강조,img-stat-card.png
21,00:00:43:00,00:00:45:00,43.00,2.00,서울 전체 시장 방향은,서울 전체 지도 페이드아웃 효과,
22,00:00:45:00,00:00:47:00,45.00,2.00,보여주지 않습니다,'전체 통계 아님' 자막 카드,img-0-cover.png
23,00:00:47:00,00:00:50:00,47.00,3.00,내 집 마련 준비 중이라면,가족이 부동산 매물 검색하는 스톡 영상,
24,00:00:50:00,00:00:55:00,50.00,5.00,"우리 동네 실거래가, 지금 확인해보세요",국토부 실거래가 시스템 앱 화면 + 채널 구독 유도 자막,img-1-stat-card.png
