컷,시작(TC),끝(TC),시작(초),길이(초),자막,화면 지시,쓸 그림
1,00:00:00:00,00:00:02:00,0.00,2.00,강남3구와 용산,강남 아파트 단지 항공 스톡 + 하단에 '하락 3주째' 자막 카드,img-0-cover.png
2,00:00:02:00,00:00:04:00,2.00,2.00,아파트값이 3주 연속,강남 아파트 단지 항공 스톡 (동일 유지),
3,00:00:04:00,00:00:07:00,4.00,3.00,하락폭을 키우고 있습니다,강남 아파트 단지 항공 스톡 + '-0.176%' 자막 카드 페이드인,img-1-stat-card.png
4,00:00:07:00,00:00:09:00,7.00,2.00,8월 넷째 주엔,주간 상승률 꺾은선 그래프 카드 (8월 둘째→넷째 주 하락 표시),img-2-stat-card.png
5,00:00:09:00,00:00:12:00,9.00,3.00,마이너스 0.176%까지,"동일 그래프 카드, '-0.176%' 숫자 강조 확대",img-stat-card.png
6,00:00:12:00,00:00:14:00,12.00,2.00,떨어졌는데요,"강남 아파트 단지 스톡, 화면 톤 다운",
7,00:00:14:00,00:00:16:00,14.00,2.00,반면 화성 동탄은,화성 동탄 신도시 항공 스톡으로 컷 전환,
8,00:00:16:00,00:00:18:00,16.00,2.00,정반대입니다,동탄 아파트 단지 스톡 + 화살표 위쪽 방향 그래픽,img-stats-history.png
9,00:00:18:00,00:00:21:00,18.00,3.00,6월 둘째 주 상승률이,동탄 주간 상승률 그래프 카드 등장,img-stats-index.png
10,00:00:21:00,00:00:23:00,21.00,2.00,2.22%로 연중 최고치를,동일 그래프에 '+2.22% 연중 최고' 자막 강조,img-stats-jeonse.png
11,00:00:23:00,00:00:25:00,23.00,2.00,찍었고,동탄 아파트 단지 스톡,
12,00:00:25:00,00:00:27:00,25.00,2.00,7월 첫째 주엔,'신고가 거래 212건' 자막 카드 등장 준비 화면,img-stats-map-jeonse.png
13,00:00:27:00,00:00:30:00,27.00,3.00,신고가 거래가 212건,'212건' 숫자 크게 강조된 자막 카드,img-stats-map.png
14,00:00:30:00,00:00:32:00,30.00,2.00,연중 최다치를,동일 카드에 '연중 최다치' 문구 추가,img-stats-supply.png
15,00:00:32:00,00:00:34:00,32.00,2.00,기록했습니다,동탄 아파트 단지 스톡,
16,00:00:34:00,00:00:37:00,34.00,3.00,반도체 기업 성과급이,스톡: 반도체 공장 외경 또는 산업단지 전경,
17,00:00:37:00,00:00:39:00,37.00,2.00,몰릴 거란 기대감에,"동일 산업단지 스톡, '성과급 기대감' 자막",img-stats-volume.png
18,00:00:39:00,00:00:42:00,39.00,3.00,생긴 결과라는 분석인데요,동탄 아파트 단지 스톡으로 복귀,
19,00:00:42:00,00:00:44:00,42.00,2.00,같은 수도권 안에서도,"서울-경기 지도 그래픽, 강남·동탄 위치 마커 표시",img-0-cover.png
20,00:00:44:00,00:00:46:00,44.00,2.00,지역별 온도차가,"지도 그래픽, 강남 쪽 파란색(하락) 동탄 쪽 빨간색(상승) 컬러 대비",img-1-stat-card.png
21,00:00:46:00,00:00:48:00,46.00,2.00,이렇게 뚜렷합니다,지도 그래픽 클로즈업 유지,img-2-stat-card.png
22,00:00:48:00,00:00:50:00,48.00,2.00,자세한 흐름은,부돌보 브리핑 로고 등장,
23,00:00:50:00,00:00:55:00,50.00,5.00,롱폼 영상에서 확인하세요,구독·알림 버튼 애니메이션 + 로고,
