씬,컷,시작(TC),끝(TC),시작(초),길이(초),씬 길이(초),자막,화면 지시
1,1,00:00:00:00,00:00:01:00,0.00,1.00,4.00,서울 아파트값이,큰 숫자: 서울 아파트값 연속 상승 / 85주 / 문정부 최장기록과 동률 / 출처: 재경일보 등
1,2,00:00:01:00,00:00:02:00,1.00,1.00,,85주 연속 올랐다는,
1,3,00:00:02:00,00:00:04:00,2.00,2.00,,소식 들으셨나요,
2,4,00:00:04:00,00:00:05:00,4.00,1.00,5.00,이건 문재인 정부 때,타임라인 그래픽에 문재인 정부 시기와 현재 시기가 나란히 표시되며 두 지점에 '85주' 숫자가 동시에 강조됨
2,5,00:00:05:00,00:00:07:00,5.00,2.00,,세운 역대 최장 기록과,
2,6,00:00:07:00,00:00:09:00,7.00,2.00,,동률을 이룬 겁니다,
3,7,00:00:09:00,00:00:10:00,9.00,1.00,6.00,그런데 강남3구는 내리고,"비교: 강남3구 vs 강북 / 강남3구: 하락 | 강북: 상승 + 서울 지도에서 강남권은 파란색, 강북권은 빨간색으로 표시"
3,8,00:00:10:00,00:00:12:00,10.00,2.00,,강북은 오히려 올랐죠,
3,9,00:00:12:00,00:00:13:00,12.00,1.00,,서울 평균만 보면,
3,10,00:00:13:00,00:00:15:00,13.00,2.00,,놓치는 그림입니다,
4,11,00:00:15:00,00:00:16:00,15.00,1.00,6.00,그럼 실제 계약은,국토교통부 실거래가 신고 시스템을 형상화한 화면에 '실제 계약은?' 물음표가 떠오르고 이어 '국토교통부 실거래가 신고 자료' 문구가 등장
4,12,00:00:16:00,00:00:18:00,16.00,2.00,,얼마나 됐을까요,
4,13,00:00:18:00,00:00:19:00,18.00,1.00,,국토교통부 신고 자료로,
4,14,00:00:19:00,00:00:21:00,19.00,2.00,,직접 집계해봤습니다,
5,15,00:00:21:00,00:00:23:00,21.00,2.00,7.00,노원구는 8월 1일부터,"막대: 노원구 아파트 계약 건수 / 7월1~25일 583건, 8월1~25일 437건 / 출처: 국토교통부 실거래가 신고 자료 + 두 막대 사이에 '146건 감소' 화살표 강조"
5,16,00:00:23:00,00:00:25:00,23.00,2.00,,25일까지 437건 계약돼,
5,17,00:00:25:00,00:00:26:00,25.00,1.00,,7월 같은 기간보다,
5,18,00:00:26:00,00:00:28:00,26.00,2.00,,146건 적었습니다,
6,19,00:00:28:00,00:00:30:00,28.00,2.00,8.00,그런데 같은 노원구,큰 숫자: 노원구 상계주공12(고층) 41.3㎡ / 5.8억 / 직전 4.8억 대비 +21.9% / 출처: 국토교통부 실거래가 신고 자료 + 사진(상계주공12단지): 상계주공 아파트 단지 전경
6,20,00:00:30:00,00:00:32:00,30.00,2.00,,상계주공12단지는,
6,21,00:00:32:00,00:00:34:00,32.00,2.00,,직전 거래보다 21.9%,
6,22,00:00:34:00,00:00:36:00,34.00,2.00,,오른 5.8억에 팔렸습니다,
7,23,00:00:36:00,00:00:38:00,36.00,2.00,5.00,거래 자체는 줄었지만,"체크: 8월 서울 시장 흐름 / 계약 건수는 줄어듦, 일부 단지는 신고가 경신"
7,24,00:00:38:00,00:00:39:00,38.00,1.00,,일부 단지는 신고가를,
7,25,00:00:39:00,00:00:41:00,39.00,2.00,,쓴 겁니다,
8,26,00:00:41:00,00:00:43:00,41.00,2.00,8.00,85주라는 숫자와,85주 숫자 그래픽과 실거래 건수 그래프가 나란히 떠오르며 그 사이 간극을 화살표로 연결해 강조
8,27,00:00:43:00,00:00:45:00,43.00,2.00,,실제 계약 건수 사이,
8,28,00:00:45:00,00:00:47:00,45.00,2.00,,그 간극을 함께,
8,29,00:00:47:00,00:00:49:00,47.00,2.00,,지켜봐야겠습니다,
9,30,00:00:49:00,00:00:52:00,49.00,3.00,6.00,다음 실거래 자료도 부돌보,마무리 — 채널 로고 + 다음 브리핑 안내
9,31,00:00:52:00,00:00:55:00,52.00,3.00,,브리핑에서 확인하세요,
